time,PM1,PM2.5,PM10,BM680 Temp,BM680 Gas,BM680 Humidity,BM680 Pressure,BM680 Altitude
2 / 21 / 2025,1,1,1,24.174921875,174505,34.41612187413006,1010.3148059419271,24.466207145919135
2 / 21 / 2025,1,1,1,24.174140625,174851,34.4043872017073,1010.3117381296394,24.491808878717066
2 / 21 / 2025,1,1,1,24.17296875,174851,34.36929948414981,1010.3043814319672,24.55320278980802
2 / 21 / 2025,1,1,1,24.17140625,176958,34.35166662717796,1010.301919152439,24.573751352762
2 / 21 / 2025,1,1,1,24.16984375,176250,34.3282086312538,1010.301293523848,24.57897244331821
2 / 21 / 2025,1,1,1,24.167890625,178030,34.28723986336359,1010.3018889602195,24.574003317387174
2 / 21 / 2025,1,1,1,24.1665234375,178210,34.25798611317867,1010.3015710971692,24.576655996039797
2 / 21 / 2025,1,1,1,24.1659375,177671,34.24045872427804,1010.3061576537407,24.538379638121217
2 / 21 / 2025,1,1,1,24.1649609375,177314,34.24036684406322,1010.2972721680893,24.612532133490532
2 / 21 / 2025,1,1,2,24.163984375,178210,34.22280484674623,1010.2975698712656,24.610047687482357
2 / 21 / 2025,1,1,2,24.1637890625,179298,34.21696356237196,1010.2990987173222,24.597288896151497
2 / 21 / 2025,1,1,2,24.1628125,178210,34.20522660937124,1010.2938865229758,24.640786668808385
2 / 21 / 2025,1,1,1,24.1614453125,179298,34.21092052134587,1010.2972418997805,24.612784734052816
2 / 21 / 2025,1,1,1,24.16125,179664,34.205079729833614,1010.3024439885842,24.569371412621997
2 / 21 / 2025,1,1,1,24.1606640625,179481,34.19920245609375,1010.3070304931994,24.531095515076547
2 / 21 / 2025,0,0,0,24.1606640625,179481,34.20502465061679,1010.3015206213599,24.577077234433556
2 / 21 / 2025,0,0,0,24.1596875,179664,34.2165778965723,1010.3018182973484,24.574593023777187
2 / 21 / 2025,0,0,0,24.1606640625,179116,34.239962582103026,1010.2996839975805,24.592404517949447
2 / 21 / 2025,0,1,1,24.1598828125,179298,34.263185532444865,1010.2966162223747,24.618006251559446
2 / 21 / 2025,1,2,2,24.1602734375,179481,34.29234799675413,1010.2972317980955,24.61286903645898
2 / 21 / 2025,1,2,2,24.1606640625,187435,34.309862947436486,1010.2996839975805,24.592404517949447
2 / 21 / 2025,1,2,2,24.160859375,188148,34.32153459576467,1010.3036650348492,24.55918136405546
2 / 21 / 2025,1,2,2,24.1602734375,188046,34.33313349657049,1010.3045782888308,24.55155995385094
2 / 21 / 2025,1,2,2,24.1598828125,187334,34.350579551696164,1010.3002894653007,24.587351670387854
2 / 21 / 2025,1,2,2,24.160859375,188352,34.35649976754486,1010.3055016593644,24.54385412330351
2 / 21 / 2025,1,2,2,24.1606640625,190213,34.33899774179156,1010.2996839975805,24.592404517949447
2 / 21 / 2025,1,2,2,24.160859375,189796,34.35649976754486,1010.2981551618045,24.605163217497044
2 / 21 / 2025,1,2,2,24.1598828125,190318,34.35640763463725,1010.2892697375243,24.679315676283966
2 / 21 / 2025,1,2,2,24.1606640625,190004,34.35065324764958,1010.2831543873203,24.730351053497863
2 / 21 / 2025,1,2,2,24.1606640625,191686,34.34482538128371,1010.2794811415138,24.76100607969206
2 / 21 / 2025,1,2,2,24.16125,190947,34.33905299869781,1010.2748946150625,24.799283004590954
2 / 21 / 2025,1,2,2,24.16125,192218,34.327398384885946,1010.2748946150625,24.799283004590954
2 / 21 / 2025,1,2,2,24.1618359375,192431,34.30997338433711,1010.2739813309095,24.806904847907756
2 / 21 / 2025,1,2,2,24.1622265625,193074,34.29835782610771,1010.2782701452869,24.771112453093046
2 / 21 / 2025,1,2,2,24.163203125,192859,34.29262397451886,1010.2834823118811,24.72761436762792
2 / 21 / 2025,1,2,2,24.162421875,192967,34.26924925765498,1010.2951075798404,24.63059646189861
2 / 21 / 2025,1,2,2,24.1628125,193182,34.26928603442204,1010.3012330419483,24.5794771861761
2 / 21 / 2025,1,2,2,24.1628125,192324,34.28093615196555,1010.2938865229758,24.640786668808385
2 / 21 / 2025,1,2,2,24.1633984375,193614,34.280991332845204,1010.3003197747511,24.58709872710373
2 / 21 / 2025,1,2,2,24.164375,194047,34.28690872140166,1010.3018587128787,24.574255742026196
2 / 21 / 2025,1,2,2,24.1637890625,192645,34.315983995124995,1010.2972620847773,24.61261628256859
2 / 21 / 2025,1,2,2,24.163984375,192431,34.345138551935186,1010.2938966052888,24.640702527841157
2 / 21 / 2025,1,2,2,24.164375,192431,34.38014629105336,1010.2871656405396,24.69687529381975
2 / 21 / 2025,1,2,2,24.166328125,191474,34.4444654722583,1010.2810602766482,24.747827416435175
2 / 21 / 2025,1,2,2,24.1675,191474,34.50290461327312,1010.282906959635,24.73241595526631
2 / 21 / 2025,1,2,2,24.1680859375,191580,34.54380348292331,1010.2856669454978,24.70938258313791
2 / 21 / 2025,1,2,2,24.1684765625,192005,34.58469504920602,1010.300975673081,24.581625020728218
2 / 21 / 2025,1,2,2,24.169453125,191580,34.60813818935646,1010.2914947105909,24.66074732672908
2 / 21 / 2025,1,1,1,24.1704296875,192538,34.6315850633136,1010.2930336229375,24.647904465966715
2 / 21 / 2025,1,1,1,24.1716015625,192859,34.6550542310317,1010.2985536276523,24.601837871233617
2 / 21 / 2025,1,1,1,24.17140625,192752,34.655035671069214,1010.2964091897683,24.619734018506904
2 / 21 / 2025,1,1,1,24.171015625,193290,34.66083857827972,1010.29579362347,24.624871158355816
2 / 21 / 2025,1,1,1,24.1716015625,193614,34.6550542310317,1010.309573557658,24.509872861932653
2 / 21 / 2025,1,1,1,24.1719921875,193398,34.65509135106872,1010.310189132021,24.504735711512105
2 / 21 / 2025,1,2,2,24.17296875,194920,34.63766535478698,1010.3172380463008,24.445910614302868
2 / 21 / 2025,1,2,2,24.1723828125,196023,34.63760969738351,1010.3089680489683,24.514926013802853
2 / 21 / 2025,1,2,2,24.1719921875,194920,34.60837919933804,1010.3046791632303,24.55071812356233
2 / 21 / 2025,1,2,2,24.1723828125,197250,34.59090294939535,1010.299784762798,24.591563595517382
2 / 21 / 2025,1,2,2,24.1723828125,196914,34.57922853111106,1010.2961114489143,24.62221878126061
2 / 21 / 2025,1,2,2,24.172578125,196914,34.56173712419762,1010.301929204263,24.57366746677891
2 / 21 / 2025,1,2,2,24.172578125,198039,34.53255843893534,1010.301929204263,24.57366746677891
2 / 21 / 2025,1,2,2,24.1719921875,198835,34.514998455177135,1010.3065158194104,24.53539063101053
2 / 21 / 2025,0,1,1,24.171015625,199407,34.4682374746905,1010.2976302764727,24.60954358317496
2 / 21 / 2025,0,1,1,24.1704296875,199752,34.45068512529919,1010.3058901831821,24.54061176607294
2 / 21 / 2025,0,1,1,24.1704296875,199752,34.42152813439337,1010.3058901831821,24.54061176607294
2 / 21 / 2025,0,2,2,24.170625,200445,34.39822507189222,1010.3043613174009,24.553370652563295
2 / 21 / 2025,0,2,2,24.170625,199292,34.38656567345586,1010.2933414054579,24.645335895291712
2 / 21 / 2025,0,2,2,24.1690625,200561,34.36893080909896,1010.2890424986233,24.681212083730415
2 / 21 / 2025,0,2,2,24.1684765625,201377,34.36304685914804,1010.2881191532297,24.688917806120354
2 / 21 / 2025,0,2,2,24.1669140625,200677,34.351242836637596,1010.2911668225298,24.663483690415106
2 / 21 / 2025,0,2,2,24.166328125,203267,34.31622331794356,1010.2902434725828,24.67118943768875
2 / 21 / 2025,0,2,2,24.1657421875,202910,34.298689053443496,1010.2929933983356,24.648240156725723
2 / 21 / 2025,0,2,2,24.1657421875,202910,34.28703749740576,1010.2985033122806,24.602257771734557
2 / 21 / 2025,0,2,2,24.1649609375,203147,34.286963910895544,1010.2935988965925,24.643187027229203
2 / 21 / 2025,0,2,2,24.1649609375,200329,34.281138483486636,1010.3009454399202,24.581877327213945
2 / 21 / 2025,0,2,2,24.163984375,201728,34.281046514058076,1010.2994065043791,24.594720300100626
2 / 21 / 2025,0,2,2,24.1633984375,202435,34.269341199850224,1010.3003197747511,24.58709872710373
2 / 21 / 2025,0,2,2,24.1637890625,201260,34.28685353224104,1010.3027719826624,24.56663418891756
2 / 21 / 2025,0,2,2,24.1637890625,202791,34.28102812028344,1010.3027719826624,24.56663418891756
2 / 21 / 2025,0,2,2,24.1637890625,203028,34.269377976987414,1010.3064452483363,24.535979569135872
2 / 21 / 2025,0,2,2,24.163203125,203505,34.25184932111931,1010.3128684059698,24.482376406205773
2 / 21 / 2025,0,2,2,24.1618359375,204105,34.240072833589515,1010.3125504931729,24.485029476663538
2 / 21 / 2025,0,2,2,24.1606640625,203864,34.21084707201355,1010.3180502391313,24.43913266669593
2 / 21 / 2025,0,2,2,24.1606640625,203984,34.1875587476688,1010.3125403657898,24.485113992495698
2 / 21 / 2025,0,1,1,24.1602734375,205071,34.181700535079756,1010.3082515346993,24.520905543735125
2 / 21 / 2025,0,0,0,24.1591015625,204587,34.17576917348325,1010.3045681677063,24.55164441799134
2 / 21 / 2025,0,0,0,24.1591015625,204950,34.16412732126227,1010.30640478727,24.536317229659556
2 / 21 / 2025,0,0,0,24.157734375,204225,34.15817836489657,1010.3024136337995,24.569624733802765
2 / 21 / 2025,0,1,1,24.15734375,206046,34.14650124331489,1010.2999614384753,24.59008917282324
2 / 21 / 2025,0,1,1,24.15734375,206414,34.13486170620321,1010.2907783679173,24.666725508359313
2 / 21 / 2025,0,1,1,24.158125,206169,34.12911558053108,1010.29935598164,24.595141930875354
2 / 21 / 2025,0,1,1,24.158125,206046,34.12329636885669,1010.2975193651702,24.61046917997929
2 / 21 / 2025,0,1,1,24.1583203125,205924,34.134953347391075,1010.3051736226599,24.546591696752934
2 / 21 / 2025,0,1,1,24.157734375,205802,34.11162199022791,1010.3097600966315,24.50831613867121
2 / 21 / 2025,0,1,1,24.157734375,206414,34.12907892917124,1010.3097600966315,24.50831613867121
2 / 21 / 2025,0,1,1,24.1583203125,206784,34.12913390626633,1010.3143567103564,24.469956102338806
2 / 21 / 2025,0,1,1,24.158125,206169,34.12911558053108,1010.308539065241,24.51850601332251
2 / 21 / 2025,0,1,1,24.157734375,207031,34.12907892917124,1010.3060868650485,24.538970392510866
2 / 21 / 2025,0,1,1,24.15734375,205192,34.12904227795897,1010.3036346672826,24.559434791661307
2 / 21 / 2025,1,1,1,24.156171875,206907,34.1231131392944,1010.2962780885458,24.620828108914672
2 / 21 / 2025,1,1,1,24.1565625,206169,34.134788393917034,1010.2950570551073,24.631018110765208
2 / 21 / 2025,1,1,1,24.15734375,206292,34.15814168792417,1010.29445159589,24.636070908554473
2 / 21 / 2025,1,1,1,24.1587109375,205679,34.18155374180864,1010.292932877699,24.64874522621668
2 / 21 / 2025,1,1,1,24.1583203125,205802,34.198982173460465,1010.2923173033898,24.653882447232927
2 / 21 / 2025,1,1,1,24.1587109375,205802,34.21648607378475,1010.3002793499021,24.587436087034632
2 / 21 / 2025,1,1,1,24.158125,205924,34.25137143364293,1010.3011925981933,24.579814703638174
2 / 21 / 2025,1,1,1,24.1583203125,205679,34.268863110539456,1010.297827154005,24.607900565841472
2 / 21 / 2025,1,1,1,24.1587109375,206046,34.28637524014185,1010.292932877699,24.64874522621668
2 / 21 / 2025,1,1,1,24.158125,205192,34.309623672060695,1010.2901729001252,24.671778395037933
2 / 21 / 2025,1,1,1,24.157734375,205679,34.3212400208953,1010.2950671723027,24.6309336787679
2 / 21 / 2025,1,1,1,24.1591015625,205192,34.333022999652286,1010.2953850711394,24.628280687641706
2 / 21 / 2025,1,1,1,24.1598828125,205924,34.34475169562895,1010.2911063586117,24.663988287302708
2 / 21 / 2025,1,1,1,24.1598828125,205071,34.35640763463725,1010.2929429797827,24.648660920188203
2 / 21 / 2025,1,1,1,24.160859375,204707,34.362328090232744,1010.2963185376233,24.620490545706154
2 / 21 / 2025,1,1,1,24.1614453125,206414,34.36821193543146,1010.293568648256,24.643439461854193
2 / 21 / 2025,1,1,1,24.1622265625,205679,34.37411445792404,1010.3003096777254,24.58718299041748
2 / 21 / 2025,1,1,1,24.162421875,205924,34.37996191650512,1010.2932709513598,24.64592386342507
2 / 21 / 2025,1,1,1,24.162421875,207403,34.38579116728334,1010.2877610664187,24.69190619919021
2 / 21 / 2025,1,1,1,24.1622265625,207776,34.36828566346707,1010.2856166547646,24.709802282359412
2 / 21 / 2025,1,1,1,24.1622265625,209155,34.36828566346707,1010.291126537749,24.663819883892852
2 / 21 / 2025,1,2,2,24.1622265625,209915,34.3508006413365,1010.2984730495633,24.602510325383975
2 / 21 / 2025,1,2,2,24.1628125,209535,34.321718709875725,1010.2975597822951,24.61013188376366
2 / 21 / 2025,1,2,2,24.1628125,210043,34.31589194955448,1010.2902132639903,24.671441541310276
2 / 21 / 2025,1,2,2,24.1637890625,209535,34.28685353224104,1010.2990987173222,24.597288896151497
2 / 21 / 2025,1,2,2,24.1637890625,209661,34.28685353224104,1010.2917521876434,24.65859857300562
2 / 21 / 2025,1,2,2,24.163984375,210170,34.286871928590884,1010.2938966052888,24.640702527841157
2 / 21 / 2025,1,2,2,24.164375,210043,34.28690872140166,1010.2926755420408,24.650892797910064
2 / 21 / 2025,1,2,2,24.1649609375,210937,34.26366356249683,1010.2935988965925,24.643187027229203
2 / 21 / 2025,1,2,2,24.1657421875,211066,34.27538684885866,1010.2948300362339,24.63291267319525
2 / 21 / 2025,1,1,1,24.1669140625,211066,34.24637447047211,1010.2874935404933,24.69413882210912
2 / 21 / 2025,1,1,1,24.1680859375,211066,34.240660864005406,1010.2875035897196,24.6940549568362
2 / 21 / 2025,1,1,1,24.1684765625,210681,34.22905052646155,1010.2917924441986,24.65826261525372
2 / 21 / 2025,1,2,2,24.1684765625,210937,34.21740434324752,1010.2973023812774,24.6122799929421
2 / 21 / 2025,1,2,2,24.1700390625,211323,34.20590595799824,1010.2997646587511,24.591731371105872
2 / 21 / 2025,1,2,2,24.1704296875,212490,34.20594268098688,1010.2967069254472,24.617249299530993
2 / 21 / 2025,1,2,2,24.170625,211711,34.18849474548201,1010.2933414054579,24.645335895291712
2 / 21 / 2025,1,2,2,24.171015625,210937,34.171067182569836,1010.2921203177149,24.655526374317784
2 / 21 / 2025,1,2,2,24.17140625,211711,34.16528290005037,1010.2964091897683,24.619734018506904
2 / 21 / 2025,1,1,1,24.17140625,213143,34.153641630735166,1010.3000824981322,24.58907888614355
2 / 21 / 2025,1,1,1,24.1719921875,212490,34.14787634441436,1010.2918225723067,24.65801118362016
2 / 21 / 2025,1,1,1,24.1716015625,212490,34.14201960230244,1010.2912070093178,24.663148314738123
2 / 21 / 2025,1,1,1,24.17140625,212620,34.13618142829844,1010.2982458439085,24.604406441391852
2 / 21 / 2025,1,1,1,24.17140625,212229,34.13618142829844,1010.2927358817386,24.65038923832742
2 / 21 / 2025,1,1,1,24.1723828125,209155,34.136273082768135,1010.2924381353644,24.652874054465926
2 / 21 / 2025,1,2,2,24.1739453125,205802,34.20627319453628,1010.2912270659638,24.66298093358292
2 / 21 / 2025,1,2,2,24.174921875,204105,34.37531278905346,1010.2909293050288,24.665465874243296
2 / 21 / 2025,1,2,2,24.17765625,203745,34.55054634217031,1010.2989115713376,24.59885069844958
2 / 21 / 2025,1,2,2,24.1786328125,202317,34.696608070387505,1010.3041238285286,24.555352576515258
