Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1743814834.26,0,0,26.0,2.0,2.0,3.0,24.64591796875,38.490696812967464,1004.640707569611,71.92608261140845,168173.5
1743814836.31,0,0,26.5,0.5,1.5,2.5,24.6364453125,38.525564558062996,1004.6459086304902,71.88247995424194,167333.0
1743814838.29,0,0,32.0,0.5,1.5,2.5,24.61984375,38.598542556970045,1004.6508845417115,71.84076513418,167500.0
1743814840.3,0,0,28.5,0.5,1.5,2.5,24.59767578125,38.62612523947781,1004.662611689225,71.74245297538104,167668.5
1743814842.3,0,0,22.5,0.0,0.5,2.0,24.578242187500003,38.606166537339845,1004.6531771050855,71.82154585647332,167921.0
1743814844.26,0,0,22.5,0.0,0.5,2.0,24.54962890625,38.654009227992816,1004.6412229394664,71.92176191644174,168004.0
1743814846.31,0,0,33.0,0.0,0.0,2.0,24.5145703125,38.713144422014565,1004.6400927213953,71.9312369975689,168512.5
1743814848.28,0,0,31.5,0.0,0.0,2.0,24.478828125,38.87398016206744,1004.632443086379,71.99536737883986,168427.0
1743814850.31,0,0,24.0,0.0,1.0,2.0,24.44025390625,39.00469939604784,1004.6412496304463,71.9215382563113,169709.0
1743814852.29,0,0,25.0,0.0,1.0,2.0,24.3981640625,39.09617427895702,1004.6618103640254,71.74917097963635,170310.5
1743814854.28,0,0,25.0,0.0,1.0,2.0,24.35568359375,39.181649147156605,1004.6808434195993,71.5896128760634,171005.5
1743814856.27,0,0,25.0,0.0,1.0,2.0,24.32013671875,39.216896426611115,1004.6825496013519,71.57530970345607,171795.0
1743814858.31,0,0,26.5,0.0,1.0,2.0,24.2891796875,39.24963240068146,1004.698675218194,71.44012752488707,172148.0
1743814860.29,0,0,32.0,0.0,1.0,2.0,24.26330078125,39.246908370728306,1004.685510227535,71.55049041490689,173037.5
1743814862.28,0,0,32.0,0.0,1.0,2.0,24.26330078125,39.246908370728306,1004.685510227535,71.55049041490689,173037.5
1743814864.28,0,0,27.0,0.0,1.0,2.0,24.239863281250003,39.24744145357063,1004.6725236626222,71.65935869107051,172948.0
1743814866.32,0,0,29.0,1.0,2.0,3.5,24.18810546875,39.28399030567341,1004.6570730711026,71.7888848065263,173400.5
1743814868.28,0,0,30.0,1.0,2.0,3.5,24.102167968750003,39.34394965450426,1004.6544953892787,71.81049423895219,174937.5
1743814870.3,0,0,25.5,1.0,2.0,4.0,24.0321484375,39.384588897485884,1004.6449839496249,71.89023192997459,176223.5
1743814872.26,0,0,25.5,1.0,2.0,4.0,23.959296875,39.4369423525191,1004.6391952834299,71.9387606087287,177343.0
1743814874.3,0,0,33.0,1.0,2.0,3.0,23.9110546875,39.50691312225642,1004.6527652024993,71.82499896357221,177530.5
1743814876.28,0,0,33.0,1.0,2.0,3.0,23.85080078125,39.57864207471067,1004.6493774411572,71.85339967323583,177156.5
1743814878.32,0,0,33.5,1.0,2.0,3.5,23.8048046875,39.654906607248954,1004.6546387935691,71.80929201217123,178099.0
1743814880.26,0,0,33.5,1.0,2.0,3.5,23.7903515625,39.76159909326747,1004.6583675207098,71.77803297568737,177531.5
1743814882.3,0,0,27.5,1.0,2.0,4.0,23.7883984375,39.83057066441189,1004.6580379235634,71.78079612001193,176037.5
1743814884.29,0,0,27.5,1.0,2.0,4.0,23.79552734375,39.88247786465789,1004.6619164693354,71.74828116214582,174753.5
1743814886.32,0,0,32.0,0.0,2.0,3.0,23.80880859375,39.938068786353035,1004.6599852143356,71.76447143322613,174934.5
1743814888.27,0,0,29.5,0.0,2.0,3.0,23.82072265625,39.954389607481644,1004.6504759600963,71.84419040771417,173755.5
1743814890.31,0,0,29.5,0.0,2.0,3.0,23.834003906249997,39.99796206838519,1004.6421938695145,71.91362222154311,174307.0
1743814892.27,0,0,42.0,0.0,2.0,3.0,23.846210937499997,40.04745847591198,1004.6367682000287,71.95910785983516,174843.5
1743814894.3,0,0,27.5,0.0,2.0,3.0,23.85783203125,40.08184763276371,1004.6385899660651,71.94383525017255,174752.0
1743814896.27,0,0,33.0,0.0,2.0,3.0,23.878046875000003,40.044834144030986,1004.6438538105907,71.89970629863348,174484.0
1743814898.3,0,0,24.0,0.0,2.0,2.0,23.897578125000003,40.06198088988644,1004.6471416127952,71.87214341199532,175764.0
1743814900.29,0,0,24.0,0.0,2.0,2.0,23.904414062500003,39.942218749506495,1004.6387674094216,71.94234765953756,175393.0
1743814902.31,0,0,37.5,0.0,2.0,2.0,23.909296875,39.93973201378043,1004.6336926962242,71.98489123218268,175761.0
1743814904.27,0,0,39.0,0.0,2.0,2.0,23.91623046875,39.958536191913964,1004.6281916766541,72.03100881890121,175485.0
1743814906.3,0,0,36.5,0.0,2.0,2.0,23.922871093749997,39.9953833466791,1004.6349326719347,71.97449589796018,175578.0
1743814908.26,0,0,36.5,0.0,2.0,2.0,23.92423828125,40.028663568377624,1004.6207392266746,72.09348674179849,175669.0
